QuestionID,Answer,CP_Raw,CP_UN,CP_LN,MCP_output,MCP_Answer
075e483d21c29a511267ef62bedc0461,A,C,A,C,E,E
61fe6e879ff18686d7552425a36344c8,B,B,A,B,B,B
4c1cb0e95b99f72d55c068ba0255c54d,A,A,B,A,A,A
02e821a3e53cb320790950aab4489e85,D,A,A,A,D,D
23505889b94e880c3e89cff4ba119860,C,C,B,C,B,B
e8a8b3a2061aa0e6d7c6b522e9612824,D,D,D,D,D,D
09555c056f3cf0b7e0b84d8df4be1db7,E,E,E,E,E,E
3d0f8824ea83ddcc9ab03055658b89d3,B,D,D,D,C,C
86c59f14af97b33ec13edc6ec4389e31,E,E,E,E,E,E
cae61908c731d4a20889e04c3e784ebe,D,C,A,C,D,D
1a7f5b3c65364d9be002576660c914fe,B,C,C,C,B,B
dac769116ed064bc70936c15eb822c3e,C,E,C,E,A,A
f5c9664c9930b704f2724fbd617bee9d,C,A,E,A,E,E
b63b9809c203321d6659ddf8551894bf,A,E,D,E,A,A
527e72eb38950b8031ee6217ef531960,C,D,D,D,C,C
e6766a66f8d326bf00fbf628a0e4ef24,D,D,A,D,D,D
a76403b4921a9281b6ee2a7241a5ec9f,E,E,E,E,E,E
ad96098698b8378b2e79c6424920ffbd,D,C,B,C,C,C
6d4ed2c485187ed79ff3bdcc8cca6132,D,B,A,B,B,B
a40f5339ee858a0a119cbac052c5a2d0,B,C,E,C,E,E
4850bf8b6b309548ef623d5592ffbca2,E,D,B,D,B,B
e6d99b4b76f74961a400ad0001b13b73,B,A,E,A,E,E
f5950a62f9eaae34f1e914b3cf5208cf,D,D,D,D,D,D
f36489668c28b26c0cdbc56cec1db27b,E,C,A,C,B,B
0476192858e7f541611b5c2d3c5e5197,C,C,E,C,C,C
df7861813910ae204c3bd0b3c16fe5d9,D,B,C,B,D,D
c12a904025471139df4f8860cc380c60,D,B,A,B,C,C
a69bd1bf3c06a233d696a00d71a9db36,D,B,B,B,D,D
84e983f432647531b55b8b72c12fb78a,E,D,E,D,A,A
68f123f22be7bff13875e8b752b2d933,A,D,E,D,A,A
c9580b132b323906f0d51e7dc5b4ce29,C,A,E,A,E,E
80930e9df9ac4ad752749a54e7fc124f,B,D,A,D,D,D
f080ab037c1aaf689a43cc030e9d93e9,D,C,D,C,D,D
a261d4eaf8b33c0730d830ebbffbd9f8,D,C,E,C,C,C
bfd14dedb440ae1c266c61aa22960778,C,E,E,E,E,E
5a953b5fb26f1614640574f65410e8b0,D,B,A,B,C,C
ac0351d8649fb60af40c5638061a2e21,D,D,D,D,D,D
c8b18acf8e95172ff79b0a837e9369f3,A,B,A,B,D,D
7a7ff4499a7162265ddac0c3e2e8e5fc,E,C,E,C,E,E
fb721d7949d06915a2dd6fc6ec815325,D,D,C,D,D,D
47db2878d917ceb8d82627de4722a254,D,C,E,C,E,E
f03a340e093dbd5eea88feb6507ed20e,D,C,C,C,D,D
5f6296570569960a05c47a2a79656363,B,E,A,E,A,A
89586c4ab04f3133a2c7165322409c3d,C,A,A,A,E,E
98b176ac1c91370e079863d13c7dd964,E,E,A,E,E,E
b13d110147ecf24562b64a69df4fe5ad,D,D,E,D,D,D
145f1ccce9aeab854f6514f927f58288,C,D,C,D,B,B
c428412a660f34965772a7389ce58e0a,E,E,E,E,E,E
80f8afc17b5b5915a327240db8bc2a52,D,D,C,D,D,D
a662c9971a497d601c5be888670d10ae,B,B,B,B,B,B
8bf8c8597dfc5e8ec72b486541338e33,A,B,B,B,B,B
