QuestionID,Answer,CP_Raw,CP_UN,CP_LN,MCP_output,MCP_Answer
Mercury_7175875,C,D,B,D,C,C
Mercury_SC_409171,B,B,B,B,B,B
Mercury_SC_408547,C,B,C,C,B,B
Mercury_407327,D,B,D,D,D,D
MCAS_2006_9_44,D,C,C,C,C,C
Mercury_7270393,B,D,B,C,D,D
MCAS_2014_5_7,C,B,D,C,D,D
Mercury_7086660,C,C,A,C,C,C
Mercury_7168805,B,A,D,D,C,C
MCAS_2003_8_11,A,A,A,A,A,A
Mercury_7250058,B,B,B,B,C,C
Mercury_7012740,A,A,A,A,A,A
Mercury_LBS10610,C,C,B,C,A,A
Mercury_SC_407400,C,A,D,D,D,D
Mercury_7212993,C,D,A,D,D,D
Mercury_SC_413240,A,B,B,B,A,A
Mercury_7186358,C,B,D,B,C,C
Mercury_7166425,B,B,B,B,B,B
MDSA_2007_8_3,A,C,C,C,A,A
Mercury_7094290,C,D,D,D,D,D
Mercury_7186568,B,B,B,C,B,B
Mercury_402216,B,B,B,B,B,B
Mercury_404894,A,D,B,C,A,A
MCAS_2002_8_11,C,C,C,C,C,C
Mercury_SC_405086,B,B,D,B,B,B
Mercury_SC_408324,D,A,D,D,A,A
Mercury_7218820,B,A,D,D,B,B
Mercury_412202,B,B,B,B,B,B
Mercury_SC_409139,C,C,B,B,C,C
Mercury_400687,B,C,D,B,B,B
Mercury_7171605,D,B,D,D,D,D
Mercury_7210245,C,B,A,C,B,B
AKDE&ED_2008_4_25,A,D,D,A,A,A
AKDE&ED_2008_4_19,C,C,C,C,C,C
Mercury_SC_400402,A,A,B,D,A,A
Mercury_7234308,A,C,C,C,D,D
ACTAAP_2014_5_8,B,C,C,D,B,B
Mercury_400407,B,B,B,C,A,A
Mercury_7116288,C,C,C,C,C,C
MCAS_2004_9_15-v1,B,C,C,C,B,B
NYSEDREGENTS_2015_4_26,C,D,C,C,C,C
Mercury_SC_401620,A,A,D,D,B,B
Mercury_400877,C,C,C,C,C,C
Mercury_7174213,D,A,B,A,D,D
NYSEDREGENTS_2008_8_34,2,2,2,2,D,D
Mercury_7212398,B,C,C,C,B,B
Mercury_SC_401290,C,B,B,B,C,C
Mercury_SC_402120,C,C,D,C,C,C
Mercury_184975,C,B,A,B,D,D
Mercury_SC_400578,A,A,B,D,A,A
MCAS_2001_8_4,D,C,B,C,B,B
MCAS_2003_5_33,C,B,C,C,D,D
Mercury_7068513,A,C,D,C,D,D
AKDE&ED_2008_4_26,C,D,D,D,A,A
Mercury_7235638,C,A,B,A,C,C
MDSA_2009_5_20,B,A,D,D,B,B
Mercury_178325,C,D,D,D,D,D
Mercury_7212678,A,A,D,B,A,A
TAKS_2009_8_32,A,B,D,B,A,A
Mercury_412681,C,D,D,A,B,B
Mercury_400440,D,D,D,D,D,D
Mercury_SC_416529,B,B,C,B,B,B
MCAS_2006_8_1,D,D,D,D,D,D
TIMSS_2003_8_pg80,C,C,C,C,C,C
