QuestionID,Answer,CP_Raw,CP_UN,CP_LN,MCP_output,MCP_Answer
Mercury_7175875,C,A,D,D,P,Planetary gravity will become stronger.
Mercury_SC_409171,B,D,D,D,B,B
Mercury_SC_408547,C,B,A,B,C,C
Mercury_407327,D,B,C,B,T,The independent (manipulated) variable
MCAS_2006_9_44,D,C,B,C,D,D
Mercury_7270393,B,D,D,D,D,D
MCAS_2014_5_7,C,B,D,C,D,D
Mercury_7086660,C,C,A,C,B,B
Mercury_7168805,B,A,A,A,C,C
MCAS_2003_8_11,A,A,A,A,T,The answer is A. The atom
Mercury_7250058,B,B,D,B,l,life processes
Mercury_7012740,A,D,A,C,C,C
Mercury_LBS10610,C,B,B,B,C,C
Mercury_SC_407400,C,A,D,B,A,A
Mercury_7212993,C,D,A,D,c,carbon dioxide
Mercury_SC_413240,A,A,A,B,D,D
Mercury_7186358,C,C,A,C,C,C
Mercury_7166425,B,B,C,B,B,B
MDSA_2007_8_3,A,A,A,A,D,D
Mercury_7094290,C,A,C,A,B,B
Mercury_7186568,B,B,A,D,B,B
Mercury_402216,B,B,B,B,B,B
Mercury_404894,A,B,A,C,C,C
MCAS_2002_8_11,C,C,C,C,C,C
Mercury_SC_405086,B,D,D,D,d,d
Mercury_SC_408324,D,B,A,B,B,B
Mercury_7218820,B,A,C,C,B,B
Mercury_412202,B,A,D,A,D,D
Mercury_SC_409139,C,C,C,C,C,C
Mercury_400687,B,B,B,B,B,B
Mercury_7171605,D,B,B,B,A,A
Mercury_7210245,C,D,C,C,B,B
AKDE&ED_2008_4_25,A,C,B,A,B,B
AKDE&ED_2008_4_19,C,C,C,C,C,C
Mercury_SC_400402,A,D,A,D,B,B
Mercury_7234308,A,C,D,C,D,D
ACTAAP_2014_5_8,B,C,A,B,B,B
Mercury_400407,B,C,B,D,D,D
Mercury_7116288,C,C,C,C,C,C
MCAS_2004_9_15-v1,B,C,C,C,D,D
NYSEDREGENTS_2015_4_26,C,C,C,C,C,C
Mercury_SC_401620,A,A,B,D,T,The Moon passes in front of the Sun
Mercury_400877,C,A,A,A,D,D
Mercury_7174213,D,A,B,A,D,D
NYSEDREGENTS_2008_8_34,2,2,3,2,D,D
Mercury_7212398,B,B,C,C,B,B
Mercury_SC_401290,C,A,B,A,c,compass
Mercury_SC_402120,C,D,D,D,b,balance
Mercury_184975,C,B,A,B,h,homologous structures.
Mercury_SC_400578,A,A,C,D,D,D
MCAS_2001_8_4,D,A,A,A,D,D
MCAS_2003_5_33,C,B,D,D,D,D
Mercury_7068513,A,D,D,D,R,Rift zones
AKDE&ED_2008_4_26,C,D,D,D,B,B
Mercury_7235638,C,C,B,B,b,b
MDSA_2009_5_20,B,C,D,C,D,D
Mercury_178325,C,C,D,C,a,a chart
Mercury_7212678,A,A,D,B,A,A
TAKS_2009_8_32,A,D,B,D,B,Body weight
Mercury_412681,C,D,D,A,C,C
Mercury_400440,D,D,D,D,C,C
Mercury_SC_416529,B,D,C,D,t,to shade the trunk
MCAS_2006_8_1,D,D,A,C,答,答案是D，呼吸系统。
TIMSS_2003_8_pg80,C,B,B,B,b,b
Mercury_416645,D,C,D,C,C,C
Mercury_406777,A,D,A,D,A,A
Mercury_LBS11018,A,B,B,B,D,D
Mercury_7139878,C,B,D,B,D,D
Mercury_417147,B,C,D,D,C,C
Mercury_7016765,A,A,B,A,B,B
Mercury_415303,A,B,A,B,Invalid,2
Mercury_7215845,C,D,A,D,a,a magnifying glass
Mercury_7136885,B,A,D,D,C,C
Mercury_SC_400059,D,D,D,D,C,C
Mercury_7044328,D,B,A,C,D,D
MEA_2010_8_1,A,B,D,D,D,D
Mercury_414099,B,A,B,D,D,D
Mercury_410807,B,D,D,D,D,D
Mercury_403234,B,D,C,D,D,D
Mercury_7011323,A,C,D,D,c,cut down trees
Mercury_7109463,D,D,D,D,D,D
Mercury_SC_401277,C,B,C,A,D,D
MCAS_2005_5_25,C,C,C,C,A,A
Mercury_SC_401272,D,D,A,D,T,The scientific method
Mercury_7103600,D,B,C,B,C,C
MDSA_2009_8_2,A,A,A,A,D,D
Mercury_7127943,A,C,D,C,A,A
ACTAAP_2009_7_8,D,B,D,D,D,D
MCAS_2006_9_43,C,A,D,A,B,B
Mercury_7252088,C,D,A,D,D,D
Mercury_7084665,A,C,A,A,A,A. The Milky Way galaxy
FCAT_2008_5_2,D,A,A,A,A,A
Mercury_SC_414041,D,C,C,D,D,D
MCAS_2014_8_20,A,C,D,C,A,A
Mercury_SC_401116,B,B,B,C,B,B
Mercury_7064680,C,B,A,B,s,states of matter
Mercury_7211680,C,C,B,C,B,B
Mercury_180373,B,B,A,A,M,Magma or lava is cooled.
Mercury_7216248,B,B,B,B,D,D
Mercury_SC_417677,B,B,D,B,B,B
Mercury_7221655,C,C,B,B,C,C
MCAS_2006_9_12,D,D,C,D,D,D
MCAS_2004_9_2,A,C,B,D,B,B
Mercury_180005,B,D,D,D,B,B
Mercury_7071523,C,D,D,D,B,B
Mercury_7263375,B,A,A,A,A,A
TIMSS_2011_8_pg102,D,D,D,D,D,D
Mercury_406550,B,D,D,D,D,D
Mercury_SC_400057,D,D,D,D,l,learning a new behavior
TAKS_2009_5_26,A,D,A,D,B,B
LEAP_2007_8_10417,A,A,B,C,u,"unless the plant with wrinkled seeds was pure recessive, no prediction can be made."
Mercury_7027405,A,B,C,D,b,balance
Mercury_7058415,A,C,C,C,B,B
Mercury_7215828,A,C,A,C,C,C
Mercury_7064575,B,B,B,B,D,D
Mercury_7097493,D,A,D,A,T,The atom becomes negatively charged.
AKDE&ED_2008_8_47,B,A,A,B,B,B
Mercury_405136,C,C,C,C,B,B
Mercury_415086,D,D,D,D,D,D
Mercury_7228725,C,A,B,D,D,D
Mercury_7201740,A,D,A,A,A,A
NYSEDREGENTS_2010_4_4,A,A,A,C,B,B
MEAP_2005_8_21,D,B,B,B,D,D
Mercury_7026355,A,A,D,D,B,B
Mercury_7249708,B,A,D,A,A,A
Mercury_7107170,D,D,D,D,D,D
Mercury_183820,A,B,C,B,i,iron
Mercury_SC_401357,B,B,B,B,A,A
NYSEDREGENTS_2008_8_11,4,3,2,3,d,dead organisms
Mercury_416650,C,B,D,C,A,A
NCEOGA_2013_5_20,B,C,C,C,B,B
Mercury_400500,C,C,C,D,C,C
Mercury_SC_401366,D,A,C,D,B,B
Mercury_7141610,B,B,B,B,w,weight
Mercury_7247013,B,A,D,A,A,A
NYSEDREGENTS_2008_8_30,2,3,1,3,B,B
ACTAAP_2011_5_16,B,D,B,D,B,B
Mercury_7093153,B,D,B,D,B,B
Mercury_7013965,A,D,D,D,D,D
Mercury_7034843,B,C,C,A,n,number of protons
Mercury_SC_407610,D,A,D,D,D,D
Mercury_405947,C,B,B,B,C,C
AKDE&ED_2012_8_6,A,D,B,D,D,D
Mercury_7011130,A,D,D,D,D,D
Mercury_LBS11022,A,B,B,B,A,A. plastic soda bottles
TIMSS_1995_8_J1,C,D,D,D,C,C
Mercury_SC_408366,B,B,C,C,A,A
Mercury_7009993,A,A,B,A,D,D
Mercury_401699,C,A,A,A,Invalid,9
Mercury_7056858,A,A,D,A,A,A
Mercury_7027160,C,D,D,D,D,D
