QuestionID,Answer,CP_Raw,CP_UN,CP_LN,MCP_output,MCP_Answer
075e483d21c29a511267ef62bedc0461,A,C,A,C,C,C
61fe6e879ff18686d7552425a36344c8,B,C,C,C,B,B
4c1cb0e95b99f72d55c068ba0255c54d,A,D,D,C,A,A
02e821a3e53cb320790950aab4489e85,D,A,A,A,D,D
23505889b94e880c3e89cff4ba119860,C,E,B,E,B,B
e8a8b3a2061aa0e6d7c6b522e9612824,D,A,C,A,D,D. television
09555c056f3cf0b7e0b84d8df4be1db7,E,D,D,D,E,E. airport
3d0f8824ea83ddcc9ab03055658b89d3,B,E,D,E,B,B
86c59f14af97b33ec13edc6ec4389e31,E,B,B,B,E,E. blotter
cae61908c731d4a20889e04c3e784ebe,D,B,A,B,B,B
1a7f5b3c65364d9be002576660c914fe,B,E,E,E,B,B
dac769116ed064bc70936c15eb822c3e,C,A,C,A,E,E. sadness
f5c9664c9930b704f2724fbd617bee9d,C,D,E,B,E,E. rest area
b63b9809c203321d6659ddf8551894bf,A,D,D,D,A,A
527e72eb38950b8031ee6217ef531960,C,D,A,D,C,C. kitchen
e6766a66f8d326bf00fbf628a0e4ef24,D,B,B,B,D,D
a76403b4921a9281b6ee2a7241a5ec9f,E,A,D,D,E,E
ad96098698b8378b2e79c6424920ffbd,D,C,A,C,D,D
6d4ed2c485187ed79ff3bdcc8cca6132,D,A,A,A,D,D
a40f5339ee858a0a119cbac052c5a2d0,B,C,E,C,E,E. satisfaction
4850bf8b6b309548ef623d5592ffbca2,E,A,B,E,B,B
e6d99b4b76f74961a400ad0001b13b73,B,B,E,B,E,E. front
f5950a62f9eaae34f1e914b3cf5208cf,D,B,A,B,D,D
f36489668c28b26c0cdbc56cec1db27b,E,C,C,C,E,E. airplane
0476192858e7f541611b5c2d3c5e5197,C,B,E,C,C,C
df7861813910ae204c3bd0b3c16fe5d9,D,B,A,B,D,D. take money
c12a904025471139df4f8860cc380c60,D,A,A,B,C,C. working
a69bd1bf3c06a233d696a00d71a9db36,D,E,A,E,D,D
84e983f432647531b55b8b72c12fb78a,E,D,C,D,E,E
68f123f22be7bff13875e8b752b2d933,A,D,D,D,A,A. television
c9580b132b323906f0d51e7dc5b4ce29,C,B,E,B,c,c
80930e9df9ac4ad752749a54e7fc124f,B,A,A,A,B,B
f080ab037c1aaf689a43cc030e9d93e9,D,E,E,E,D,D
a261d4eaf8b33c0730d830ebbffbd9f8,D,C,E,C,C,C. pack or bag
bfd14dedb440ae1c266c61aa22960778,C,D,B,A,E,E. crumpled
5a953b5fb26f1614640574f65410e8b0,D,A,A,A,C,C. thin
ac0351d8649fb60af40c5638061a2e21,D,B,B,B,D,D
c8b18acf8e95172ff79b0a837e9369f3,A,C,A,C,D,D
7a7ff4499a7162265ddac0c3e2e8e5fc,E,B,A,B,E,E
fb721d7949d06915a2dd6fc6ec815325,D,D,C,A,D,D. headache
47db2878d917ceb8d82627de4722a254,D,D,E,D,D,D
f03a340e093dbd5eea88feb6507ed20e,D,E,C,E,D,D
5f6296570569960a05c47a2a79656363,B,A,A,A,E,E. deadly
89586c4ab04f3133a2c7165322409c3d,C,E,A,E,C,C
98b176ac1c91370e079863d13c7dd964,E,D,A,A,E,E. social bonding
b13d110147ecf24562b64a69df4fe5ad,D,C,E,C,D,D
145f1ccce9aeab854f6514f927f58288,C,D,B,D,C,C. california
c428412a660f34965772a7389ce58e0a,E,E,E,E,E,E
80f8afc17b5b5915a327240db8bc2a52,D,E,E,E,D,D. proximity
a662c9971a497d601c5be888670d10ae,B,B,B,B,B,B
8bf8c8597dfc5e8ec72b486541338e33,A,B,B,B,A,A. advisory
313b72ce5b14f3d0b86b91c7bc6497be,A,E,D,E,A,A
6efbe0725841b961848b6935fe67a471,A,E,D,A,A,A
4163cfdd31feb277084ceb3996b3a851,C,B,B,A,C,C. feel safe
3f720c9ad7f3eb99400dd8c81fc269d8,C,E,D,E,C,C.
4dbeeb50a01a3b5c9c76d1052c4b14ea,D,C,C,C,D,D
129014ff081296c3d9bbc338c5ff32db,C,E,E,E,C,C. orchestra
8f495e9bcd88ce23617197520442090c,B,E,E,E,B,B
6dc921840aa1e5dda3333b79007f630b,A,D,E,C,A,A
c879e1677869c4d58102c608da805453,A,B,A,B,A,A
16699879d1f1b67f1664e78324cadd65,E,A,E,E,B,B
a7c9d4f6be3bb973c4ebecb1e841b3ac,C,D,B,D,E,E.
9f84a7225b5da1e119ae54919f38ba79,A,C,D,C,A,A. reach tentative agreement
70a97a0079878b3a46080d00a4e118fb,A,E,C,E,A,A
00dc6e53c3715d0050ffb78646cd6c7c,A,E,B,E,A,A.
d829cc86312173f28b877987ae87fd7c,B,D,C,E,B,B
223d54ae26635218666dc05f42a469e9,D,D,D,D,D,D
f75bb741497541837b92c4c2a113f5a4,B,D,E,D,E,E.
5208880ea3b34d2de7ab59aedf499225,E,A,A,A,E,E. sporting event
21db09783c773fed677cd5ec3b71eecf,C,A,A,A,D,D
63e0569414c0bc6e51c8c230a598ac55,C,C,C,C,C,C
142626e4fc9656c97d7d7f93822cc381,B,D,D,A,B,B
c59b184974e5f820763bd901a62a5473,B,C,B,C,E,E
58c3817107e323fdd7d70c4014990626,D,E,B,E,D,D. web page
a7be27a64aad72c029f05a2c7fc6d55f,B,A,B,A,B,B
6122883c3b5cd10b59a29dbd582e19c8,D,B,C,B,E,E
5cc173999089fd11673252a58b8c0feb,A,C,D,D,A,A
d57ca8ce3f5ef4794d127c2385228698,A,D,C,D,A,A
d6503fc1f87e3e2caeb7bf8e16526e0f,A,C,C,D,A,A
1c16c914f3e9e99c678d6f1ec30194a8,D,A,A,E,A,A. stress
a7b24b7ab7f0065c8688ee84d47899f1,B,E,C,D,B,B
e97a7b91a1ca85f362c42e04c983fc2a,C,B,C,B,C,C. progress
bc07822ca1f8892b80d632b9c03e1187,C,E,E,D,D,D
367a52860ea02568f014242ec1967d78,E,B,B,B,D,D. in bed
ca9a3ccfb140aa66816f96ac983b6d9f,A,E,C,E,A,A
591221f7cf4790253d19b08d9ea1f77e,A,D,B,E,A,A
cf9904211d9c602da9e41be0e3b24aff,B,E,B,E,B,B
864ff0aa11611d0de8865034ac0ecb86,D,B,C,D,C,C. unable
d4ebade47b1e84ab403efc715a7ca991,E,D,D,D,E,E. freezer
3c0a8fd4547feaa73b8e5d797e7ecc76,B,A,A,D,B,B
ad3aa40dec688333dba0b88e325481ea,D,C,C,C,E,E. field of flowers
1bca9774955d7e794a6e48ffcf95e728,A,A,E,E,A,A
68b13a7a996a07b8ea6731349d9348a4,C,E,A,E,C,C
c12221a251d96e691753cfd3ac0b33c4,A,C,C,C,A,A
de450d514150b9ff12c25026253116f8,D,A,A,A,D,D. parking lot
042ce5d57aed06e6988c3739050fb1e4,D,A,E,A,D,D
77a4a131e9083f6a4c70e8f88df54056,B,A,C,A,B,B
5f26970bd0b7b4a38f185aa5d5688717,D,B,B,B,E,E. mouth
8adc90ed047cb821793c84567a14d2e2,B,E,A,E,B,B
167c0dc61979a026ebeb721f9513bda2,C,B,A,B,C,C
1cc14f6c9ae4435ddb4e4c520eee0065,C,E,E,E,C,C. office
49430bdae459f7368471e14391d0eeb1,E,D,D,D,E,E
e63b2dd1db7e1bd707956a41d3d2a83c,A,D,B,D,A,A
b18afff8078a6baa334b8bfb21db8624,A,A,A,C,D,D
84a559081220249df3a27f1f406594f6,D,E,E,E,D,D. wakefulness
eefde762b9bf947d1c1b87fea4bbe6b4,C,A,D,A,C,C
2a258ed37974c9226cbb32cfbf88d4f0,D,E,E,E,D,D
308b1c17a0dc5273d442dba191789de7,D,C,C,C,D,D
5f3357cd75e10f08d46195289d1a823d,A,D,E,D,C,C
8c157adc2027737cefb4ee0d6c9836d6,C,E,A,E,C,C
688772598f69066794067c48197a9ab2,E,A,B,A,E,E. hands
6874cbf68869d5482b719778f85b09a5,E,D,C,D,D,D. small apartment
397efef2f7c69fbb8f7507f2907196e3,A,B,C,B,A,A
6741642ade99f46b6086e9468f327b49,D,E,E,B,D,D. missing out
c4dcfeacbbc2d365a6fc34d8811e4ed6,D,B,E,B,E,E. creek
64ce22ee28a83119363b83a83de1ae92,B,C,C,E,B,B
46376ac886af06e85beac37f3391c357,A,D,A,D,B,B
4bc34224aaa443baad6ccae86e11f3ab,A,D,D,D,D,D
9fd4737d024fb0d6a9f047bed295bddb,E,C,B,C,E,E
